dir,gap_abs,band,pos_band,breakout,mom20,tradeable_dn,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmax3,fmax5,fmax10,fmax20,fmax60,fclose_max3,fclose_max5,fclose_max10,fclose_max20,fclose_max60
down,0.01275103602167682,1-2%,-10~0,False,-0.05767497747071182,True,-0.058120762027768724,-0.07555699063609944,-0.09945108169195993,-0.23119147562156928,-0.027666666666666617,-0.045666666666666744,-0.07033333333333336,-0.20633333333333337,30.15,30.15,30.15,30.15,30.15,30.0,30.0,30.0,30.0,30.0
down,0.010101010101010166,1-2%,-10~0,False,-0.042553191489361764,True,-0.02619047619047621,-0.01292517006802718,-0.06054421768707474,-0.18231292517006803,-0.018512170037710107,-0.005142269454919468,-0.05313678436750091,-0.17586561535824485,29.32,29.32,29.32,29.32,29.32,28.86,28.86,29.02,29.02,29.02
down,0.01791867677463821,1-2%,-10~0,False,-0.0565669700910274,True,-0.011578947368421022,-0.05157894736842106,-0.0463157894736842,-0.18561403508771923,0.002847988608045693,-0.037735849056603765,-0.03239587041651837,-0.1737273050907796,28.2,28.47,28.47,28.47,28.47,27.93,28.17,28.17,28.17,28.17
down,0.010649627263045858,1-2%,-10~0,False,-0.055648675829701566,True,-0.035522066738428504,-0.0322927879440259,-0.04305705059203446,-0.2587011123071403,-0.037249283667621924,-0.03402578796561617,-0.04477077363896853,-0.26002865329512903,28.35,28.35,28.35,28.35,28.35,28.0,28.0,28.0,28.0,28.0
down,0.011437908496732097,1-2%,-10~0,False,-0.05628373168851197,True,-0.040909090909090895,-0.060743801652892504,-0.15082644628099173,-0.12231404958677694,-0.03452579034941761,-0.05449251247920128,-0.1451747088186356,-0.11647254575707155,24.29,24.29,24.29,24.29,24.29,24.06,24.06,24.06,24.06,24.06
down,0.013414106447425356,1-2%,-10~0,False,-0.05711954304365574,True,-0.08333333333333337,-0.02280701754385961,0.0008771929824560321,-0.13771929824561402,-0.021535580524344566,0.04307116104868913,0.06835205992509374,-0.07958801498127333,21.3,21.3,22.76,23.95,23.95,20.6,20.9,22.28,23.72,23.72
down,0.010194174757281571,1-2%,<=-10%,False,-0.17534027221777415,True,0.03482099068170674,0.11770475723393803,0.02501226091221187,-0.13487003433055422,0.021297192642788065,0.10309777347531446,0.011616650532429773,-0.14617618586640846,21.23,21.49,23.95,23.95,23.95,20.9,21.1,23.11,23.72,23.72
down,0.012386850881372036,1-2%,<=-10%,False,-0.12723492723492735,True,0.09937288953207912,0.09744331886155333,0.009647853352628966,-0.12108055957549457,0.08009478672985781,0.0781990521327014,-0.00805687203791472,-0.13649289099526074,23.95,23.95,23.95,23.95,23.95,23.11,23.11,23.72,23.72,23.72
down,0.04306220095693769,3-5%,0~+10%,False,0.011616650532429773,True,0.02750000000000008,0.06300000000000017,0.058499999999999996,-0.07650000000000001,0.05764282038085433,0.09418425115800311,0.08955223880597019,-0.049408131755018014,21.5,21.5,21.5,21.66,22.85,21.2,21.2,21.26,21.26,22.3
down,0.024847632442569045,2-3%,0~+10%,False,0.08937691521961177,True,-0.12548076923076923,-0.11971153846153859,-0.07596153846153852,0.03798076923076921,-0.11656143759106352,-0.11073336571151049,-0.06653715395823223,0.048567265662943226,20.59,20.59,20.59,20.84,23.09,19.72,19.72,19.72,20.79,22.3
down,0.013949013949013933,1-2%,-10~0,False,-0.023943661971831065,True,-0.029268292682926855,-0.07365853658536592,-0.01658536585365855,-0.012682926829268415,0.007085020242914908,-0.03896761133603255,0.020242914979756943,0.024291497975708287,19.59,20.28,20.28,20.6,23.09,19.46,19.9,19.9,20.4,22.3
down,0.010121457489878694,1-2%,-10~0,False,-0.06306306306306297,True,-0.017382413087934534,-0.056237218813905865,0.017382413087934534,0.012781186094069641,-0.009278350515463885,-0.04845360824742262,0.025773195876288568,0.021134020618556626,19.57,20.28,20.28,20.6,23.09,19.46,19.9,19.9,20.4,22.3
down,0.012638230647709192,1-2%,0~+10%,False,0.04283360790774293,True,0.03946666666666654,0.06133333333333324,0.0464,0.03359999999999985,0.05579631635969662,0.07800650054171165,0.06283856988082337,0.04983748645720465,19.09,20.15,20.6,20.67,23.09,19.03,19.49,20.4,20.4,22.3
down,0.013663967611336147,1-2%,0~+10%,False,0.025428126621691804,True,0.14417650076962563,0.10774756285274512,0.0713186249358646,0.07285787583376102,0.08833577354807232,0.05368472425573456,0.019033674963396807,0.02049780380673516,22.46,23.09,23.09,23.09,23.09,21.89,22.3,22.3,22.3,22.3
down,0.01085930122757317,1-2%,-10~0,False,-0.03243490178163544,True,-0.011933174224343701,-0.08353221957040569,-0.23198090692124107,-0.09880668257756564,0.022727272727272707,-0.05138339920948609,-0.2050395256916996,-0.06719367588932801,20.32,20.91,20.94,20.94,21.9,20.0,20.7,20.7,20.7,21.49
down,0.025044722719141266,2-3%,<=-10%,False,-0.1956834532374101,True,0.06727828746177367,0.06483180428134538,0.2336391437308869,0.0685015290519877,0.048048048048048075,0.04564564564564577,0.21141141141141162,0.04924924924924934,16.95,17.55,18.34,21.9,21.9,16.09,17.45,17.91,21.49,21.49
down,0.01621621621621616,1-2%,<=-10%,False,-0.21388101983002838,True,0.025641025641025772,0.084859584859585,0.2515262515262515,0.08363858363858379,0.04412678682411442,0.10441267868241133,0.2740832815413301,0.10316967060285887,16.88,17.55,18.34,21.9,21.9,16.68,17.45,17.91,21.49,21.49
down,0.018023617153511418,1-2%,<=-10%,False,-0.2050395256916996,True,0.1126582278481012,0.10632911392405053,0.3291139240506329,0.16075949367088604,0.18783783783783758,0.181081081081081,0.41891891891891886,0.23918918918918908,17.55,17.77,18.34,21.9,21.9,17.45,17.58,17.91,21.49,21.49
down,0.014388489208633004,1-2%,<=-10%,False,-0.1575757575757576,True,0.05900243309002429,0.25669099756690983,0.25669099756690983,0.13017031630170295,-0.002292263610315093,0.18395415472779386,0.18395415472779386,0.06475644699140393,18.34,18.34,20.94,21.9,21.9,17.91,17.91,20.66,21.49,21.49
down,0.014285714285714457,1-2%,<=-10%,False,-0.18840579710144922,True,0.05555555555555558,0.26268115942029,0.1654589371980677,0.10507246376811596,-0.00568828213879391,0.18941979522184305,0.09783845278725845,0.04095563139931757,18.34,18.34,21.9,21.9,21.9,17.91,17.91,21.22,21.49,21.49
down,0.018425460636516067,1-2%,<=-10%,False,-0.11599210266535054,True,0.08930602957906708,0.17974971558589314,0.07110352673492604,0.04323094425483509,0.09553775743707082,0.18649885583524006,0.07723112128146448,0.04919908466819223,17.91,20.15,21.9,21.9,21.9,17.77,19.15,21.49,21.49,21.49
down,0.010297482837528626,1-2%,<=-10%,False,-0.11895161290322576,True,0.19421965317919065,0.16589595375722554,0.09595375722543342,0.0699421965317919,0.18667432510051696,0.15852958070074674,0.08902929350947741,0.06318207926479036,19.05,20.94,21.9,21.9,21.9,18.98,20.66,21.49,21.49,21.49
