dir,gap_abs,band,pos_band,breakout,mom20,tradeable_up,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmin3,fmin5,fmin10,fmin20,fmin60,fclose_min3,fclose_min5,fclose_min10,fclose_min20,fclose_min60
up,0.016622922134733153,1-2%,>+10%,False,0.1552917903066271,True,0.02839931153184172,0.01118760757314985,0.02495697074010339,-0.0206540447504302,-0.0025041736227046085,-0.019198664440734592,-0.005843071786310494,-0.05008347245409017,11.58,11.58,11.58,11.24,11.14,11.72,11.72,11.72,11.32,11.18
up,0.022184300341296925,2-3%,>+10%,False,0.1696606786427146,True,-0.014190317195325486,-0.028380634390651083,-0.03171953255425719,-0.03923205342237068,-0.017470881863560606,-0.03161397670549082,-0.03494176372712143,-0.04242928452579031,11.77,11.63,11.53,11.24,11.14,11.9,11.81,11.64,11.32,11.18
up,0.01660839160839167,1-2%,-10~0,False,-0.04983388704318936,True,-0.03869303525365442,-0.020636285468615623,-0.005159071367153989,0.006878761822871837,-0.04851063829787239,-0.030638297872340403,-0.015319148936170146,-0.0034042553191488967,11.55,11.14,11.14,11.14,11.08,11.59,11.18,11.18,11.18,11.09
up,0.019708654670094194,1-2%,0~+10%,False,0.0060344827586207295,True,-0.031092436974790028,-0.003361344537815225,-0.03361344537815125,-0.005042016806722782,-0.022052586938083096,0.00593723494486853,-0.024597116200169578,0.004240882103477617,11.56,11.52,11.52,11.22,11.08,11.56,11.53,11.53,11.38,11.09
up,0.030000000000000027,3-5%,0~+10%,True,0.005484460694698434,True,0.003530450132391838,-0.024713150926743088,-0.05913503971756395,-0.0203000882612534,-0.0008787346221442727,-0.02899824253075567,-0.0632688927943762,-0.024604569420035194,11.32,11.3,11.05,10.63,9.99,11.46,11.36,11.05,10.66,10.05
up,0.01667222407469149,1-2%,-10~0,False,-0.016721311475409895,True,0.07215480485405057,0.021646441456215193,0.0019678583142015427,-0.108560183666776,-0.009093664746893104,-0.05577447711427719,-0.07396180660806306,-0.17611397393149442,31.62,31.62,30.3,30.3,26.11,33.1,32.69,30.69,30.55,26.19
up,0.011414077362079889,1-2%,>+10%,False,0.1349406261245052,True,-0.014420062695924662,-0.008463949843260155,-0.07742946708463949,-0.1746081504702195,0.007692307692307665,0.013782051282051233,-0.05673076923076925,-0.1560897435897436,30.3,30.3,30.3,29.22,26.11,30.69,30.69,30.69,29.43,26.19
up,0.010756543564001353,1-2%,-10~0,False,-0.07033333333333336,True,-0.041149343738914546,-0.0503724725079816,-0.05072720822986876,-0.2692444129123802,-0.04046858359957406,-0.04969826056088045,-0.050053248136315176,-0.2687255946041889,27.28,26.88,26.62,26.11,20.09,27.54,27.03,26.77,26.19,20.16
up,0.01024890190336758,1-2%,<=-10%,False,-0.1394372112557749,True,0.01400966183574881,0.09371980676328517,0.008212560386473555,-0.12125603864734291,0.018932038834951204,0.09902912621359228,0.013106796116504782,-0.11699029126213589,20.1,20.1,20.1,20.1,17.97,20.66,20.55,20.55,20.55,18.19
up,0.03385178408051237,3-5%,-10~0,False,-0.08305369127516782,True,0.04955752212389375,-0.060176991150442616,-0.10044247787610627,-0.12566371681415933,0.026395499783643528,-0.08091735179575943,-0.12029424491562102,-0.14495889225443526,22.32,22.32,21.05,19.08,17.52,22.64,22.64,21.24,19.43,17.64
up,0.016077170418006492,1-2%,>+10%,False,0.1418650793650793,True,-0.058770343580470175,-0.08092224231464751,-0.08137432188065097,-0.14150090415913208,-0.0197740112994349,-0.04284369114877595,-0.04331450094161948,-0.10593220338983056,19.3,19.08,19.08,18.74,17.52,19.43,19.43,19.43,19.02,17.64
up,0.025744573447753716,2-3%,-10~0,False,-0.05079060852898909,True,0.09744094488188981,-0.0009842519685039353,-0.13188976377952755,-0.03149606299212604,0.057874762808349356,-0.03700189753320671,-0.1631878557874762,-0.06641366223908918,20.94,20.94,20.18,17.52,17.52,21.17,21.17,20.3,17.64,17.64
up,0.010436432637571214,1-2%,0~+10%,False,0.008612440191387627,True,0.04694835680751175,-0.06103286384976525,-0.15258215962441313,-0.09014084507042264,0.053377420878601756,-0.05526688710439309,-0.1473783656117147,-0.08455361360415692,21.09,21.09,19.91,17.52,17.52,21.24,21.24,20.0,17.64,17.64
up,0.013226263580538467,1-2%,0~+10%,False,0.08955223880597019,True,-0.006993006993006978,-0.03356643356643352,-0.15804195804195809,-0.10862470862470852,-0.000469263256686947,-0.027217268887846036,-0.15251055842327543,-0.10276865321445317,21.09,21.09,19.91,17.52,17.52,21.24,21.24,20.0,17.64,17.64
up,0.010837438423645374,1-2%,0~+10%,False,0.004950495049504955,True,-0.03898635477582846,-0.14035087719298245,-0.062378167641325644,0.07456140350877205,-0.028571428571428692,-0.13103448275862073,-0.05221674876847304,0.0862068965517242,19.91,19.72,17.52,17.52,17.52,20.0,19.72,17.64,17.64,17.64
up,0.010000000000000009,1-2%,-10~0,False,-0.059266227657572945,True,-0.05297029702970302,-0.10594059405940592,-0.05495049504950489,0.024752475247524774,-0.07718282682103239,-0.12879884225759775,-0.07911239749155818,-0.0014471780028944004,19.72,19.0,17.52,17.52,17.52,19.72,19.13,17.64,17.64,17.64
up,0.015918958031837738,1-2%,0~+10%,False,0.02980625931445613,True,-0.13532763532763525,-0.15384615384615374,-0.05508072174738843,-0.009021842355175558,-0.14627285513361454,-0.16455696202531633,-0.06704172526957342,-0.021565869667135362,19.28,18.05,17.52,17.52,17.52,19.66,18.21,17.64,17.64,17.64
up,0.03142536475869795,3-5%,<=-10%,False,-0.16101694915254228,True,0.055495103373231824,0.04570184983677916,0.060391730141458044,0.13601741022850922,0.05953031130529762,0.049699617695248444,0.06444565811032232,0.1403604587657019,17.91,17.91,17.91,17.91,17.91,18.22,18.22,18.22,18.22,18.22
up,0.01712506486766996,1-2%,0~+10%,False,0.08136924803591472,True,0.015306122448979442,-0.0020408163265307477,0.045408163265306056,-0.09846938775510206,0.021036428937916796,0.0035915854284247484,0.051308363263211865,-0.09338122113904546,19.5,19.5,19.4,19.03,17.59,19.81,19.81,19.5,19.12,17.67
up,0.03386351975371982,3-5%,0~+10%,False,0.06444565811032232,True,-0.032258064516129004,0.007940446650124056,0.05062034739454102,-0.1573200992555831,-0.0220661985957874,0.018555667001002973,0.061685055165496605,-0.14844533600802412,19.5,19.43,19.4,19.03,16.05,19.81,19.5,19.5,19.12,16.98
up,0.015676959619952413,1-2%,0~+10%,False,0.06259464916708746,True,-0.03180542563143118,0.012160898035547207,-0.009354536950420878,-0.05659494855004665,-0.05436272270443132,-0.011420740063956103,-0.03243490178163544,-0.07857469164001818,21.51,20.67,20.66,19.9,14.43,22.05,20.7,20.7,20.33,14.8
up,0.011778563015311994,1-2%,<=-10%,False,-0.17170731707317066,True,-0.029103608847497076,0.017462165308498312,0.2072176949941793,0.03958090803259595,-0.00536672629695889,0.042337507453786616,0.2367322599880739,0.06499701848539052,14.77,14.43,14.43,14.43,14.43,14.8,14.8,14.8,14.8,14.8
up,0.027027027027026973,2-3%,<=-10%,False,-0.25290257445734465,True,0.17828947368421066,0.24868421052631584,0.4013157894736843,0.19605263157894748,0.15473887814313358,0.2237266279819472,0.3733075435203095,0.17214700193423593,16.28,16.28,16.28,16.28,16.28,16.68,16.68,16.68,16.68,16.68
up,0.05802707930367501,5-9.4%,<=-10%,False,-0.22450000000000003,True,0.06520414381474704,0.16697135892748305,0.2510664229128581,0.1060329067641681,0.04796163069544379,0.14808153477218222,0.23081534772182266,0.0881294964028776,16.3,16.3,16.3,16.3,16.3,16.8,16.8,16.8,16.8,16.8
up,0.03146176185866412,3-5%,>+10%,False,0.10422234099412075,True,-0.03801032379164704,-0.09197559831065216,-0.13280150164242133,-0.059596433599249155,-0.03393025447690856,-0.08812441093308188,-0.12912346842601308,-0.055607917059377954,20.4,19.85,19.2,17.72,17.0,20.74,20.17,19.35,18.23,17.29
up,0.028387787895018723,2-3%,-10~0,False,-0.07436787307882997,True,-0.04427083333333326,-0.07187499999999991,-0.07552083333333326,-0.15468749999999998,-0.028072033898304927,-0.056144067796610075,-0.05985169491525422,-0.1403601694915254,18.47,18.3,17.73,17.0,16.02,18.82,18.35,17.82,17.29,16.06
up,0.021086261980830745,2-3%,-10~0,False,-0.06418918918918926,True,0.053817271589486904,0.10012515644555675,0.0957446808510638,0.08385481852315402,0.06380290587492099,0.11054958938723924,0.10612760581174996,0.09412507896399247,15.35,15.35,15.35,15.35,13.13,15.57,15.57,15.57,15.57,13.52
up,0.03083700440528614,3-5%,-10~0,False,-0.03813559322033888,True,0.06959706959706957,0.1294261294261294,0.047008547008547064,0.15995115995116005,0.05351773902585699,0.11244738424533973,0.031268791340950175,0.14251352976548404,16.47,16.47,16.47,16.47,13.13,16.8,16.8,16.8,16.8,13.52
up,0.010608598548297099,1-2%,0~+10%,False,0.08348457350272231,True,-0.03370165745856368,-0.05248618784530401,-0.1093922651933702,0.05635359116022087,-0.0545945945945947,-0.072972972972973,-0.12864864864864856,0.033513513513513615,17.43,17.21,17.13,16.02,13.13,17.56,17.49,17.15,16.12,13.52
up,0.010820045558086688,1-2%,0~+10%,False,0.029912023460410442,True,-0.016338028169014085,-0.03211267605633805,-0.1509859154929577,0.05352112676056331,-0.005694760820045386,-0.021640091116173044,-0.14179954441913434,0.06492027334851946,17.21,17.21,16.74,14.98,13.13,17.44,17.44,16.98,15.07,13.52
up,0.010279840091376391,1-2%,>+10%,False,0.10612760581174996,True,0.003957037874505298,-0.06161673261729794,-0.23572639909553428,0.03843979649519502,0.01834862385321112,-0.04816513761467889,-0.22477064220183496,0.05332568807339455,17.13,17.13,16.35,13.13,13.13,17.15,17.15,16.6,13.52,13.52
up,0.012600229095074411,1-2%,0~+10%,False,0.09880427942101955,True,-0.04977375565610853,-0.08823529411764697,-0.2285067873303167,0.02714932126696845,-0.020408163265306034,-0.06005830903790077,-0.20466472303206984,0.05889212827988355,16.74,16.42,16.02,13.13,13.13,16.98,16.8,16.12,13.52,13.52
up,0.022740524781341254,2-3%,0~+10%,False,0.031268791340950175,True,-0.029646522234891615,-0.07696693272519939,-0.19954389965792474,0.03762827822120873,-0.04542905215928206,-0.09197980931015126,-0.2125630959057767,0.020751542344363383,16.74,16.42,16.02,13.13,13.13,16.98,16.8,16.12,13.52,13.52
up,0.011166253101736912,1-2%,<=-10%,False,-0.12864864864864856,True,-0.12024539877300622,-0.13865030674846635,-0.039877300613496924,0.1472392638036808,-0.1142680667078444,-0.13279802347127867,-0.03335392217418165,0.1550339715873994,14.98,14.31,13.13,13.13,13.13,15.07,14.34,13.52,13.52,13.52
up,0.027349228611500687,2-3%,<=-10%,False,-0.16018845700824502,True,0.08259385665528995,0.05733788395904438,0.2627986348122866,0.2061433447098977,0.09003436426116829,0.06460481099656357,0.2714776632302405,0.21443298969072178,14.18,14.18,14.18,14.18,14.18,14.33,14.33,14.33,14.33,14.33
up,0.027913468248429885,2-3%,<=-10%,False,-0.14702380952380956,True,0.062457569585879114,0.17583163611676844,0.38900203665987787,0.19891378139850646,-0.006979695431472033,0.09898477157360408,0.2982233502538072,0.12055837563451788,15.72,15.57,15.08,15.08,15.08,15.86,15.65,15.49,15.49,15.49
up,0.027284263959390875,2-3%,-10~0,False,-0.07403055229142186,True,-0.03829524397776407,0.05744286596664616,0.20135886349598509,0.09388511426806678,-0.05003050640634532,0.044539353264185566,0.186699206833435,0.08053691275167796,15.57,15.08,15.08,15.08,15.08,15.81,15.57,15.49,15.49,15.49
up,0.014771997430957029,1-2%,0~+10%,False,0.0006426735218509894,True,0.1917721518987341,0.21392405063291142,0.1841772151898735,0.1031645569620252,0.20705128205128198,0.22948717948717956,0.19935897435897454,0.11730769230769234,15.38,15.38,15.38,15.38,15.38,15.49,15.49,15.49,15.49,15.49
up,0.034861200774693346,3-5%,0~+10%,False,0.02786994027869949,True,0.18527760449157826,0.20898315658140976,0.16843418590143466,0.07423580786026185,0.18601747815230962,0.20973782771535587,0.16916354556804003,0.07490636704119846,16.19,16.19,16.19,16.19,16.19,17.12,17.12,17.12,17.12,17.09
up,0.011235955056179803,1-2%,0~+10%,False,0.07588985896574885,True,0.1351851851851853,0.26296296296296306,0.15925925925925943,0.060493827160493785,0.06177829099307153,0.18129330254041576,0.08429561200923796,-0.008083140877598205,16.63,16.63,16.63,16.63,16.63,17.12,17.12,17.12,17.12,17.09
up,0.050233644859813076,5-9.4%,>+10%,True,0.26627218934911245,True,0.06674082313681873,0.08342602892102335,0.02947719688542838,-0.04226918798665191,0.01858736059479571,0.03451938396176324,-0.01699415825809858,-0.08550185873605942,17.78,17.78,17.78,17.78,16.91,18.39,18.39,18.39,18.37,17.09
up,0.027732463295269127,2-3%,>+10%,False,0.30982905982905984,True,0.02910052910052907,0.023809523809523947,-0.0354497354497354,-0.14656084656084656,0.028012684989429104,0.022727272727272707,-0.03646934460887952,-0.14746300211416508,18.3,18.3,18.3,17.88,16.11,18.5,18.5,18.5,18.16,16.13
up,0.012552301255229992,1-2%,>+10%,False,0.20936116382036696,True,-0.029958677685950286,-0.05991735537190079,-0.03409090909090906,-0.18801652892561982,-0.030959752321981338,-0.0608875128998968,-0.03508771929824561,-0.18885448916408665,18.45,18.45,17.93,17.88,15.58,18.7,18.7,18.16,18.16,15.72
up,0.012299465240641627,1-2%,>+10%,False,0.20723047127178829,True,-0.040676175382989954,0.015319598520866284,-0.018489170628631868,-0.16481774960380347,-0.03043246129204491,0.026161238654564878,-0.008008542445275046,-0.15589962626801923,18.2,17.96,17.88,17.88,15.58,18.37,18.16,18.16,18.16,15.72
